number,name,gender,score,major,class_code
2021900051,nvjiq,男,74.9,软件工程,2021240301
2021900071,slvmy,女,62.43,NULL,0
2021900078,idhdu,男,69.82,计算机科学与技术,2021240102
2021900087,ivixg,女,69.85,计算机科学与技术,2021240101
2021900124,rwdsw,男,67.38,物联网,2021240402
2021900176,ehsrb,男,70.54,物联网,2021240402
2021900217,azxvv,女,88.63,计算机科学与技术（卓越工程师）,2021240201
2021900222,mvyui,男,60.86,NULL,0
2021900272,olfsr,男,99.08,物联网,2021240402
2021900402,zyswp,男,86.37,计算机科学与技术（卓越工程师）,2021240201
2021900461,mocxv,女,91.94,物联网,2021240402
2021900481,qwtij,女,68.86,物联网,2021240402
2021900528,uimht,女,83.69,计算机科学与技术（卓越工程师）,2021240202
2021900558,rzvnp,女,95.49,软件工程,2021240302
2021900569,dwybq,男,78.99,计算机科学与技术（卓越工程师）,2021240202
2021900582,pqyxh,男,68.1,物联网,2021240401
2021900610,fgqdo,女,93.85,物联网,2021240402
2021900655,boyka,女,91.53,软件工程,2021240302
2021900698,yzmlz,男,98.08,物联网,2021240402
2021900748,emxjy,男,87.51,计算机科学与技术,2021240102
2021900776,maijq,女,80.96,软件工程,2021240302
2021900828,lyyii,女,77.66,计算机科学与技术,2021240101
2021900834,mlyfg,女,97.97,软件工程,2021240301
2021900837,dlavu,女,84.25,计算机科学与技术（卓越工程师）,2021240201
2021900846,jalts,女,67.74,物联网,2021240402
2021900893,ovrov,男,82.17,软件工程,2021240302
2021900909,mvcrp,男,69.84,物联网,2021240402
2021900924,dmjtw,女,83.33,计算机科学与技术（卓越工程师）,2021240201
2021900978,rstms,男,68.63,计算机科学与技术（卓越工程师）,2021240202
2021901063,iykdh,男,63.51,NULL,0
2021901070,ewydz,女,72.1,物联网,2021240401
2021901072,kqwcc,女,76.53,物联网,2021240402
2021901103,aqjjk,女,99.53,软件工程,2021240302
2021901153,lmxkl,女,76.52,计算机科学与技术,2021240102
2021901233,ytlvj,男,76.55,计算机科学与技术（卓越工程师）,2021240202
2021901316,sihmn,男,72.51,计算机科学与技术（卓越工程师）,2021240201
2021901367,hftpm,女,60.37,NULL,0
2021901381,eucry,女,92.0,计算机科学与技术,2021240101
2021901419,lddyn,女,67.53,物联网,2021240402
2021901422,gvvus,女,61.48,NULL,0
2021901475,yrmvy,男,99.08,计算机科学与技术,2021240101
2021901510,dqnsj,男,66.83,NULL,0
2021901552,iiszh,男,74.33,计算机科学与技术,2021240102
2021901556,prqwz,男,74.91,计算机科学与技术,2021240101
2021901587,ksvdl,男,83.5,物联网,2021240401
2021901588,epevb,男,70.96,计算机科学与技术（卓越工程师）,2021240201
2021901595,ujmre,男,83.51,物联网,2021240401
2021901608,vxdgn,男,83.23,物联网,2021240402
2021901672,hyooo,女,70.65,计算机科学与技术,2021240102
2021901781,arlnc,女,68.05,计算机科学与技术（卓越工程师）,2021240202
2021901833,aqrpy,女,65.25,NULL,0
2021901842,djezs,女,67.88,物联网,2021240401
2021901853,lllrg,男,80.91,软件工程,2021240302
2021901908,ssywv,男,89.37,计算机科学与技术（卓越工程师）,2021240202
2021901914,bxfrc,女,61.28,NULL,0
2021901936,rybgp,女,95.78,计算机科学与技术,2021240101
2021902003,fdaqc,女,77.49,计算机科学与技术（卓越工程师）,2021240202
2021902102,cxzcr,男,92.76,计算机科学与技术,2021240102
2021902193,ilrje,男,86.58,计算机科学与技术（卓越工程师）,2021240202
2021902213,piwdw,男,91.8,物联网,2021240401
2021902232,zvtyg,女,77.83,计算机科学与技术,2021240101
