number,name,gender,score,is_fill,major_1,major_2,major_3
2021901054,bgugj,男,92.94,1,3,1,2
2021900226,mhvhd,女,95.21,1,2,4,3
2021907840,alyay,女,83.63,1,2,4,3
2021904413,kgbkq,女,92.25,1,1,3,4
2021902546,gmgmw,男,83.02,0,-1,-1,-1
2021904080,ocybr,男,80.07,1,2,1,3
2021909503,fqchb,男,93.46,1,1,4,2
2021907755,kouks,女,95.69,1,1,3,2
2021905744,gjlmc,男,81.0,1,3,1,2
2021909568,xfsni,女,60.16,1,2,4,1
2021908180,dfhcn,男,82.96,1,3,4,1
2021907087,knqel,男,88.51,1,1,4,3
2021908152,ioyka,女,74.15,1,1,4,3
2021906899,cplej,男,73.05,1,4,1,3
2021902341,upoyj,女,69.44,1,2,4,1
2021909890,ppwqz,男,81.65,1,3,1,2
2021909743,fkdmu,男,60.97,1,3,2,4
2021908829,gspyf,男,70.22,1,4,2,3
2021904770,bqrlk,女,69.83,1,1,3,4
2021905764,kgkld,女,61.73,1,2,4,1
2021908397,lsdxb,男,77.34,1,4,3,1
2021907670,ncqje,男,66.94,1,3,2,4
2021902029,yjoti,女,95.06,1,3,4,1
2021900645,hoxlz,女,69.07,1,2,1,4
2021903139,ozktx,女,63.79,1,4,3,2
2021907624,yditz,女,75.02,1,4,1,2
2021903002,nbpys,男,84.17,1,2,1,3
2021907573,vnzfa,女,80.76,1,2,4,1
2021907671,xtlcr,男,88.3,1,2,4,3
2021908493,zvack,女,81.86,1,1,4,2
2021905803,hnxoa,女,63.78,0,-1,-1,-1
2021905609,taskx,男,88.98,1,3,2,4
2021901583,gxvsm,男,69.99,1,1,2,3
2021903064,iulzo,男,61.94,1,4,3,2
2021905223,dbiug,女,85.29,1,3,4,2
2021907658,kuehg,男,85.98,1,3,2,1
2021900665,jtywt,男,72.77,1,4,3,2
2021909380,cluna,女,62.0,1,1,4,3
2021903639,mzigc,女,62.74,1,2,3,1
2021905463,zhkkw,男,91.43,1,2,4,3
2021905679,kqnyt,男,91.87,1,4,3,1
2021909560,gjrno,女,69.47,1,2,1,3
2021905876,rheuq,女,82.86,1,4,2,1
2021907004,emflt,男,62.29,1,3,4,2
2021908181,hnams,男,65.11,1,3,2,1
2021900776,tlgnb,女,91.86,1,3,2,4
2021909501,xkhad,女,61.32,1,3,4,2
2021906501,vrasx,男,83.47,1,2,4,1
2021909711,iqaba,女,95.04,1,3,2,4
2021909858,bmkea,男,94.48,1,4,3,2
2021908172,imtqp,男,81.82,1,4,2,1
2021901742,ulvwd,男,78.4,1,2,1,4
2021907258,havvl,女,97.08,1,4,1,3
2021901675,gnsay,女,93.36,1,4,1,2
2021905849,hwquz,男,69.92,1,1,4,2
2021906235,ufbng,男,83.61,1,4,1,3
2021907390,plqrz,男,62.03,1,3,1,4
2021905902,ouzuq,男,79.34,1,3,1,2
2021909138,shlxv,女,98.65,0,-1,-1,-1
2021901109,kyeqy,男,97.24,1,2,4,1
2021904710,rezmd,女,75.39,1,3,1,2
2021904095,aaopi,男,88.06,1,1,4,2
2021907712,lzull,男,68.22,0,-1,-1,-1
2021902114,tnigb,男,82.04,1,2,4,3
2021905673,odvme,女,75.02,1,4,1,2
2021908061,vsmvk,男,91.54,1,1,4,3
2021900109,dpokw,女,70.69,1,2,3,4
2021907248,cwrec,女,79.56,1,2,4,3
2021907275,ntskr,男,80.18,1,3,1,2
2021908219,vhgas,男,92.65,1,4,2,3
2021905639,gtrik,男,69.77,1,1,4,3
2021906823,yuikl,女,72.21,1,2,4,1
2021905380,nuqjs,男,99.5,1,1,2,3
2021906071,puqnd,女,87.52,1,4,2,1
2021907487,fvlwa,女,80.79,1,4,2,3
2021904493,tybkx,男,90.38,1,2,1,3
2021901803,bzouo,女,76.66,1,2,1,4
2021903832,dgqbk,女,61.12,1,4,2,3
2021908284,brcag,男,70.46,1,1,3,4
2021906733,baanh,男,94.18,1,3,4,2
2021902389,gsmeh,男,80.51,1,3,4,1
2021907120,ulshc,男,77.9,1,1,2,4
2021905824,dmpir,男,95.17,1,3,4,2
2021902256,vdfuf,男,99.93,0,-1,-1,-1
2021909168,koufm,男,98.22,1,3,2,1
2021907177,fksps,男,73.62,1,4,1,2
2021903228,nktzu,男,97.66,1,4,3,2
2021901090,awdcc,男,92.26,1,3,2,1
2021903145,ancws,男,70.33,1,2,4,1
2021906498,zhaib,女,83.31,1,2,3,4
2021905340,jhohn,男,67.77,1,4,3,2
2021902899,aobop,男,60.85,1,1,4,3
2021904012,liaku,男,61.99,1,1,2,4
2021902931,hglda,女,97.62,1,1,4,3
2021903279,hcyzc,女,67.36,0,-1,-1,-1
2021906562,eeklh,男,63.53,1,2,3,1
2021908539,rgggn,女,82.64,1,3,4,2
2021908613,lkfyh,女,89.57,1,2,4,3
2021904494,nmcbi,女,77.39,1,4,3,2
2021909341,wuogp,男,61.6,1,2,1,4
